bldg_id,street_address,zip_code,last_reg,rc_count,docket_no,case_type,case_status,filing_date,closing_date,close_code,staff_id,mci_item,claim_cost,allow_cost,wk_beg_dt
404713,491 GRANDVIEW AVE RIDGEWOOD NY,11385,2020,0,DV110027OM,OM,CLOSED,10/18/15,5/5/16,GR,ROM-00046-16,NEW ROOF,26800,26800,6/12/15
419427,607 GRANDVIEW AVE RIDGEWOOD NY,11385,2020,0,DR110071OM,OM,CLOSED,6/10/15,11/7/16,GP,ROM-00112-16,POINTNG & WATERPROOF,127250,124901.8,7/30/13
419427,607 GRANDVIEW AVE RIDGEWOOD NY,11385,2020,0,DR110071OM,OM,CLOSED,6/10/15,11/7/16,GP,ROM-00112-16,CONCRETE INSTALLAT'N,47600,47600,12/1/13
406078,613 GRANDVIEW AVE RIDGEWOOD NY,11385,2020,0,DT110013OM,OM,CLOSED,8/17/15,7/27/16,GP,ROM-00070-16,POINTNG & WATERPROOF,122550,111646.5,7/30/13
406078,613 GRANDVIEW AVE RIDGEWOOD NY,11385,2020,0,DT110013OM,OM,CLOSED,8/17/15,7/27/16,GP,ROM-00070-16,3 SIDE BLDG CONCRETE,36081,27181,12/20/13
407009,1719 GREENE AVE RIDGEWOOD NY,11385,2020,0,BT130039OM,OM,CLOSED,8/6/13,2/3/14,GP,ROM-00006-14,GAS BOILER,9800,8293.8,12/3/12
405183,31-34 GREENPOINT AVE LONG ISLAND CITY NY,11101,2020,0,BS130079OM,OM,CLOSED,7/31/13,12/31/13,GR,ROM-00075-13,TV/SECURITY SYSTEM,1940,1940,5/8/13
411609,31-36 GREENPOINT AVE LONG ISLAND CITY NY,11101,2020,0,XI110076OM,OM,CLOSED,9/22/09,4/9/10,GR,RXX-000915-18,NEW GAS LINES,11995,11995,11/13/08
411609,31-36 GREENPOINT AVE LONG ISLAND CITY NY,11101,2020,0,BS110080OM,OM,CLOSED,7/30/13,12/20/13,GR,ROM-00075-13,TV/SECURITY SYSTEM,1940,1940,5/8/13
419160,39-20 GREENPOINT AVE SUNNYSIDE NY,11104,2020,0,ET110019OM,OM,CLOSED,8/12/16,2/27/17,GP,ROM-00014-17,ELEVATOR UPGRADING,341365,328380.2,8/17/15
405097,39-40 GREENPOINT AVE ASTORIA NY,11104,2020,3,ZI130007OM,OM,CLOSED,9/1/11,11/28/11,GR,RXA-000810-19,SCAFFOLD,7500,7500,4/26/11
405097,39-40 GREENPOINT AVE ASTORIA NY,11104,2020,3,ZI130007OM,OM,CLOSED,9/1/11,11/28/11,GR,RXA-000810-19,POINTING,34000,34000,4/27/11
404406,19-36 GROVE ST RIDGEWOOD NY,11385,2020,0,GO110048OM,OM,CLOSED,3/20/18,6/1/18,GP,ROM-00061-18,NEW BOILER,11700,9862.9,6/23/15
414122,1918 GROVE ST FLUSHING NY,11385,2020,0,CN110043X,X,CLOSED,2/28/14,3/7/14,CW,RX-00001-14,N/A,N/A,N/A,N/A
420377,40-70 HAMPTON ST FLUSHING NY,11373,2020,0,AW110030OM,OM,CLOSED,11/19/12,8/29/13,GR,ROM-00057-13,POINTNG & WATERPROOF,174000,174000,8/15/10
420377,40-70 HAMPTON ST FLUSHING NY,11373,2020,0,CX110064OM,OM,CLOSED,12/22/14,5/8/15,GP,ROM-00028-15,ELEVATOR UPGRADING,213000,210945,11/14/13
420377,40-70 HAMPTON ST FLUSHING NY,11373,2020,0,CX110064OM,OM,CLOSED,12/22/14,5/8/15,GP,ROM-00028-15,COMPACTORS,22800,18000,6/9/14
420377,40-70 HAMPTON ST FLUSHING NY,11373,2020,0,CX110064OM,OM,CLOSED,12/22/14,5/8/15,GP,ROM-00028-15,BACK FLOW PREVENTER,7200,6934.05,12/4/12
420377,40-70 HAMPTON ST FLUSHING NY,11373,2020,0,DP110006X,X,CLOSED,4/2/15,4/9/15,GR,RX-00004-15,N/A,N/A,N/A,N/A
420377,40-70 HAMPTON ST FLUSHING NY,11373,2020,0,ER110044OM,OM,CLOSED,6/28/16,10/31/16,GP,ROM-00109-16,ROOF & RELATED WORK,245750,245750,7/21/15
